from,in,label
339607,2171951,0
4288883,4076256,0
3396833,2544371,0
3997985,3003535,0
1832430,4233620,0
1232801,2601706,0
2769895,3960620,0
4696057,844742,0
2652450,1715283,0
3713581,4373431,0
2185167,522439,0
4602823,117790,0
1859787,2001655,0
1195329,4554929,0
3757841,765174,0
4260914,4104435,0
4624364,2441845,0
2791313,4532227,0
2413044,3732838,0
768665,3228784,0
2659581,4828910,0
1542402,1588729,0
1566400,276592,0
2181509,3997431,0
1092401,1254519,0
324148,673171,0
4534880,3282429,0
4400445,2312186,0
4377092,1975531,0
1805239,3518377,0
4862834,2308635,0
3779597,4132692,0
2997816,690994,0
2720633,967623,0
135971,2273631,0
982593,1849357,0
4481177,620730,0
1551657,1039307,0
512417,191114,0
4565377,3570349,0
603742,2525487,0
2938478,3658008,0
3282262,1672317,0
2182155,3007779,0
3944459,4779564,0
486966,1327150,0
983252,3710399,0
1466492,110761,0
3956280,3438535,0
2612598,2996005,0
3260167,2104975,0
104323,3841598,0
663319,2817872,0
2356218,1131099,0
2602964,3254924,0
2008366,1871480,0
4765999,3476292,0
4760303,3508338,0
3735884,535917,0
3744378,4425604,0
4087480,4709405,0
4148860,2734215,0
418230,3482425,0
123558,3370683,0
3502118,2652286,0
4432087,820274,0
1597693,997438,0
1665276,2536849,0
2348665,1528581,0
840376,3989667,0
3327728,682374,0
183253,2304466,0
2151583,1119212,0
4369336,2911291,0
965607,1295537,0
1725836,2178264,0
4683827,2640005,0
352359,4148046,0
3847555,3652740,0
3124330,4512473,0
1495590,1743522,0
3150584,2441382,0
74634,1161461,0
3080309,786075,0
2837496,299183,0
345635,2261754,0
2428760,3027504,0
3311755,4601019,0
2010800,404803,0
2582682,1506483,0
4387663,594440,0
2538985,3382027,0
3478937,911434,0
4036365,3976239,0
973146,4175299,0
3578037,317293,0
4735263,3150520,0
1854374,513015,0
3228036,65859,0
822725,3303500,0
4668047,4353718,0
3548700,701818,0
3089788,1846650,0
1691880,997491,0
4169871,3338276,0
2151507,1738387,0
353172,1811053,0
1660693,3845405,0
3171161,3033673,0
1244886,4730370,0
4372382,4155766,0
4182950,1694425,0
81408,2853974,0
1244591,2154881,0
2469458,3946264,0
556660,710038,0
4332949,330643,0
1094664,340846,0
2520342,128221,0
3763038,2773226,0
3864926,3114873,0
4236244,3206399,0
4444348,4214676,0
282008,4813991,0
640538,3576622,0
2537067,4251831,0
2790770,550467,0
4139862,2197878,0
3222565,3218536,0
2408271,2802001,0
465794,301434,0
4037692,3505314,0
1181995,4125777,0
684675,1269815,0
2959264,3448893,0
295109,3911431,0
394540,851280,0
883260,4606551,0
3216310,4113099,0
931109,504665,0
1066268,3251807,0
4353748,1586516,0
320314,3288555,0
2990990,631994,0
374475,335382,0
223606,4362606,0
4775271,4796579,0
4393210,3524147,0
4253919,2561139,0
951644,1222139,0
3573297,4748060,0
3482626,1309939,0
2722095,2118844,0
658829,2957009,0
589966,1018192,0
3013635,246436,0
2897803,2918209,0
1933519,3068573,0
1744646,27112,0
1717909,1033376,0
3096488,206779,0
1953397,1190238,0
1568600,3808831,0
1091841,234346,0
1745838,3038688,0
2454775,2485935,0
4640615,2742941,0
1543885,677875,0
2581698,1312003,0
3159056,1232511,0
1050555,1869128,0
2037078,1985224,0
1543037,2441584,0
388020,1109257,0
172382,3303443,0
2511437,4620253,0
3495946,1193560,0
3541575,2500040,0
2974299,709304,0
2080865,3731346,0
3097544,4439312,0
485340,3157738,0
3499940,2689983,0
3950091,763837,0
2323394,940855,0
2855380,4390166,0
1195942,2981038,0
3879188,725609,0
3767226,3875627,0
65235,1834875,0
1310477,3558523,0
3954682,776391,0
4174839,1949199,0
1013609,2265581,0
2152313,3342261,0
4413262,3323859,0
2377302,1644426,0
4447517,2089158,0
3446077,4559822,0
2451605,3710823,0
3118920,4766683,0
1034300,1010977,0
3925389,1170488,0
4694375,2507868,0
2970052,3965006,0
3482173,1828800,0
3724388,2518135,0
1197989,4156749,0
439612,1809539,0
84809,4419353,0
557480,682605,0
3030622,345424,0
1901588,1180107,0
1603938,884664,0
3640814,3866266,0
1241675,3752156,0
1237325,4396988,0
3725584,2929026,0
417696,3257695,0
3050183,478070,0
2495838,726702,0
4295962,2385921,0
3844451,452481,0
3612172,3813481,0
4112112,2137016,0
3990062,1807070,0
440849,1366148,0
2934353,32502,0
2431099,59811,0
1177819,534271,0
3588181,1863667,0
3326204,4678901,0
1853655,3805946,0
1617728,2847963,0
2676218,2708924,0
4495464,3823060,0
2727501,2143288,0
241836,4378772,0
372055,1594940,0
1758179,4399947,0
2900337,1575255,0
4336076,3226860,0
2136068,4044019,0
2885180,2012947,0
4630291,606812,0
398194,3457114,0
4140465,3863051,0
2022865,828210,0
1290131,3472991,0
647124,3581395,0
330105,1513215,0
2340388,2953658,0
2680973,3647733,0
899974,4672908,0
2394996,4538871,0
3705949,4312042,0
995981,829639,0
1447673,3478418,0
4492301,4322507,0
3592585,417504,0
1021681,3227052,0
2285768,991905,0
4736769,3010710,0
2366989,1858563,0
4346584,2579651,0
2745670,1959605,0
1151654,130013,0
4639930,4234986,0
2750496,3078512,0
3318372,1302273,0
4777295,1790614,0
1973972,1108375,0
3008273,4103699,0
105994,1846111,0
4149835,4034208,0
660790,2173977,0
1602783,2654328,0
2093871,2878679,0
2181932,2887121,0
1361741,2557706,0
142409,2989346,0
4119704,514415,0
206063,2025572,0
1893942,2740288,0
558220,523497,0
3766206,3650832,0
2758284,3427842,0
3210054,80809,0
3433326,2212419,0
4477046,4457175,0
1437099,26089,0
4198953,1159533,0
4311195,1242922,0
668130,2768668,0
1416366,4709438,0
3583422,869550,0
3837887,1258886,0
335953,2117896,0
3006184,2455635,0
1265078,3842962,0
1980928,4256698,0
2263579,4129822,0
3933565,293000,0
321290,3824515,0
3314047,1006763,0
173508,2290506,0
287507,2130035,0
2430830,1737263,0
4439855,4330711,0
973039,4748272,0
4469282,2964161,0
1363576,1283925,0
2773764,76270,0
429957,4738467,0
3615537,1426360,0
8495,1180769,0
3706832,1055688,0
2863419,78162,0
4029992,2160896,0
2337965,1458221,0
530889,1320381,0
2390441,114379,0
4423021,4651985,0
1593737,3621331,0
4725178,3222438,0
3027796,3893409,0
305086,4711030,0
131634,3038541,0
4438369,1329733,0
1631663,2973536,0
4169051,160570,0
2030711,2302443,0
653678,4807851,0
3759603,1985865,0
842397,1579402,0
547187,3579813,0
3311338,2280466,0
92018,2101833,0
1701106,3337814,0
3265365,322267,0
3903328,2974458,0
4771344,1063788,0
4734658,2334967,0
2752435,203853,0
3339443,3973892,0
4376275,1135314,0
3028466,37691,0
581945,1600323,0
3951892,361718,0
2638487,212982,0
1050846,2307560,0
1237231,3390703,0
1051784,1123705,0
4358789,364663,0
4655231,3248610,0
1511806,2891539,0
694568,677207,0
4695914,1463185,0
2227875,1691181,0
2189128,2750944,0
4340567,3829222,0
1301898,3765016,0
323809,1484498,0
4296833,283498,0
2002539,3847606,0
2798992,1131424,0
3997050,4663395,0
479530,4558728,0
691360,4342536,0
2880503,20640,0
670980,872258,0
3588084,2955475,0
4783806,3788132,0
2816956,3171442,0
996958,1141760,0
1531753,1049414,0
1621877,370269,0
3471510,520423,0
2610995,3267488,0
438145,1410639,0
3002145,649461,0
3424448,453038,0
2146042,2598311,0
4720569,3805390,0
3458008,1515538,0
257434,3806155,0
2999844,807866,0
1034865,219669,0
1485512,3387012,0
114475,2707870,0
674867,433891,0
4493053,3371659,0
4327389,802941,0
671864,2798548,0
3954243,277391,0
1294126,4333531,0
4599308,1232149,0
2756237,1426203,0
1998056,2953479,0
3529488,3883076,0
