,Node_1,Node_2,Node_1_friends_number,Node_2_friends_number,number_of_common_friends,sum_of_friends,J_similarity,Preferential_Attachment
0,339607,2171951,0,0,0,0,0,0
1,4288883,4076256,0,0,0,0,0,0
2,3396833,2544371,0,0,0,0,0,0
3,3997985,3003535,0,0,0,0,0,0
4,1832430,4233620,0,0,0,0,0,0
5,1232801,2601706,0,0,0,0,0,0
6,2769895,3960620,0,0,0,0,0,0
7,4696057,844742,0,0,0,0,0,0
8,2652450,1715283,0,0,0,0,0,0
9,3713581,4373431,0,0,0,0,0,0
10,2185167,522439,0,0,0,0,0,0
11,4602823,117790,0,0,0,0,0,0
12,1859787,2001655,0,0,0,0,0,0
13,1195329,4554929,0,0,0,0,0,0
14,3757841,765174,0,0,0,0,0,0
15,4260914,4104435,0,0,0,0,0,0
16,4624364,2441845,0,0,0,0,0,0
17,2791313,4532227,0,0,0,0,0,0
18,2413044,3732838,0,0,0,0,0,0
19,768665,3228784,0,0,0,0,0,0
20,2659581,4828910,0,0,0,0,0,0
21,1542402,1588729,0,0,0,0,0,0
22,1566400,276592,0,0,0,0,0,0
23,2181509,3997431,0,0,0,0,0,0
24,1092401,1254519,0,0,0,0,0,0
25,324148,673171,0,0,0,0,0,0
26,4534880,3282429,0,0,0,0,0,0
27,4400445,2312186,0,0,0,0,0,0
28,4377092,1975531,0,0,0,0,0,0
29,1805239,3518377,0,0,0,0,0,0
30,4862834,2308635,0,0,0,0,0,0
31,3779597,4132692,0,0,0,0,0,0
32,2997816,690994,0,0,0,0,0,0
33,2720633,967623,0,0,0,0,0,0
34,135971,2273631,0,0,0,0,0,0
35,982593,1849357,0,0,0,0,0,0
36,4481177,620730,0,0,0,0,0,0
37,1551657,1039307,0,0,0,0,0,0
38,512417,191114,0,0,0,0,0,0
39,4565377,3570349,0,0,0,0,0,0
40,603742,2525487,0,0,0,0,0,0
41,2938478,3658008,0,0,0,0,0,0
42,3282262,1672317,0,0,0,0,0,0
43,2182155,3007779,0,0,0,0,0,0
44,3944459,4779564,0,0,0,0,0,0
45,486966,1327150,0,0,0,0,0,0
46,983252,3710399,0,0,0,0,0,0
47,1466492,110761,0,0,0,0,0,0
48,3956280,3438535,0,0,0,0,0,0
49,2612598,2996005,0,0,0,0,0,0
50,3260167,2104975,0,0,0,0,0,0
51,104323,3841598,0,0,0,0,0,0
52,663319,2817872,0,0,0,0,0,0
53,2356218,1131099,0,0,0,0,0,0
54,2602964,3254924,0,0,0,0,0,0
55,2008366,1871480,0,0,0,0,0,0
56,4765999,3476292,0,0,0,0,0,0
57,4760303,3508338,0,0,0,0,0,0
58,3735884,535917,0,0,0,0,0,0
59,3744378,4425604,0,0,0,0,0,0
60,4087480,4709405,0,0,0,0,0,0
61,4148860,2734215,0,0,0,0,0,0
62,418230,3482425,0,0,0,0,0,0
63,123558,3370683,0,0,0,0,0,0
64,3502118,2652286,0,0,0,0,0,0
65,4432087,820274,0,0,0,0,0,0
66,1597693,997438,0,0,0,0,0,0
67,1665276,2536849,0,0,0,0,0,0
68,2348665,1528581,0,0,0,0,0,0
69,840376,3989667,0,0,0,0,0,0
70,3327728,682374,0,0,0,0,0,0
71,183253,2304466,0,0,0,0,0,0
72,2151583,1119212,0,0,0,0,0,0
73,4369336,2911291,0,0,0,0,0,0
74,965607,1295537,0,0,0,0,0,0
75,1725836,2178264,0,0,0,0,0,0
76,4683827,2640005,0,0,0,0,0,0
77,352359,4148046,0,0,0,0,0,0
78,3847555,3652740,0,0,0,0,0,0
79,3124330,4512473,0,0,0,0,0,0
80,1495590,1743522,0,0,0,0,0,0
81,3150584,2441382,0,0,0,0,0,0
82,74634,1161461,0,0,0,0,0,0
83,3080309,786075,0,0,0,0,0,0
84,2837496,299183,0,0,0,0,0,0
85,345635,2261754,0,0,0,0,0,0
86,2428760,3027504,0,0,0,0,0,0
87,3311755,4601019,0,0,0,0,0,0
88,2010800,404803,0,0,0,0,0,0
89,2582682,1506483,0,0,0,0,0,0
90,4387663,594440,0,0,0,0,0,0
91,2538985,3382027,0,0,0,0,0,0
92,3478937,911434,0,0,0,0,0,0
93,4036365,3976239,0,0,0,0,0,0
94,973146,4175299,0,0,0,0,0,0
95,3578037,317293,0,0,0,0,0,0
96,4735263,3150520,0,0,0,0,0,0
97,1854374,513015,0,0,0,0,0,0
98,3228036,65859,0,0,0,0,0,0
99,822725,3303500,0,0,0,0,0,0
100,4668047,4353718,0,0,0,0,0,0
101,3548700,701818,0,0,0,0,0,0
102,3089788,1846650,0,0,0,0,0,0
103,1691880,997491,0,0,0,0,0,0
104,4169871,3338276,0,0,0,0,0,0
105,2151507,1738387,0,0,0,0,0,0
106,353172,1811053,0,0,0,0,0,0
107,1660693,3845405,0,0,0,0,0,0
108,3171161,3033673,0,0,0,0,0,0
109,1244886,4730370,0,0,0,0,0,0
110,4372382,4155766,0,0,0,0,0,0
111,4182950,1694425,0,0,0,0,0,0
112,81408,2853974,0,0,0,0,0,0
113,1244591,2154881,0,0,0,0,0,0
114,2469458,3946264,0,0,0,0,0,0
115,556660,710038,0,0,0,0,0,0
116,4332949,330643,0,0,0,0,0,0
117,1094664,340846,0,0,0,0,0,0
118,2520342,128221,0,0,0,0,0,0
119,3763038,2773226,0,0,0,0,0,0
120,3864926,3114873,0,0,0,0,0,0
121,4236244,3206399,0,0,0,0,0,0
122,4444348,4214676,0,0,0,0,0,0
123,282008,4813991,0,0,0,0,0,0
124,640538,3576622,0,0,0,0,0,0
125,2537067,4251831,0,0,0,0,0,0
126,2790770,550467,0,0,0,0,0,0
127,4139862,2197878,0,0,0,0,0,0
128,3222565,3218536,0,0,0,0,0,0
129,2408271,2802001,0,0,0,0,0,0
130,465794,301434,0,0,0,0,0,0
131,4037692,3505314,0,0,0,0,0,0
132,1181995,4125777,0,0,0,0,0,0
133,684675,1269815,0,0,0,0,0,0
134,2959264,3448893,0,0,0,0,0,0
135,295109,3911431,0,0,0,0,0,0
136,394540,851280,0,0,0,0,0,0
137,883260,4606551,0,0,0,0,0,0
138,3216310,4113099,0,0,0,0,0,0
139,931109,504665,0,0,0,0,0,0
140,1066268,3251807,0,0,0,0,0,0
141,4353748,1586516,0,0,0,0,0,0
142,320314,3288555,0,0,0,0,0,0
143,2990990,631994,0,0,0,0,0,0
144,374475,335382,0,0,0,0,0,0
145,223606,4362606,0,0,0,0,0,0
146,4775271,4796579,0,0,0,0,0,0
147,4393210,3524147,0,0,0,0,0,0
148,4253919,2561139,0,0,0,0,0,0
149,951644,1222139,0,0,0,0,0,0
150,3573297,4748060,0,0,0,0,0,0
151,3482626,1309939,0,0,0,0,0,0
152,2722095,2118844,0,0,0,0,0,0
153,658829,2957009,0,0,0,0,0,0
154,589966,1018192,0,0,0,0,0,0
155,3013635,246436,0,0,0,0,0,0
156,2897803,2918209,0,0,0,0,0,0
157,1933519,3068573,0,0,0,0,0,0
158,1744646,27112,0,0,0,0,0,0
159,1717909,1033376,0,0,0,0,0,0
